the_geom,SEGID,SEGPART,STREETID,STATUSID,MAPSTATUS,STREETNAME,STR_FROM,STR_TO,SEGDESCR,SCHEDULE
"MULTIPOLYGON (((144.968998840667 -37.796469676146, 144.968987171652 -37.796537468859, 144.96876283331 -37.796513719678, 144.968746714385 -37.796600090016, 144.968713139368 -37.796596518991, 144.968728961221 -37.796510215627, 144.968170138414 -37.796451019741, 144.968179238764 -37.796391203291, 144.968180903018 -37.796380201575, 144.968791255947 -37.79644791918, 144.968808664297 -37.796450048827, 144.968998840667 -37.796469676146)))",20686,,,,,,,,Little Palmerston Street between Drummond Street and Pl5268,Years 5 - 7
"MULTIPOLYGON (((144.929677804651 -37.79197525702, 144.929328612237 -37.790549462249, 144.929560595252 -37.790515033618, 144.929910927928 -37.79193918964, 144.929677804651 -37.79197525702)))",22969,,,,,,,,Bellair Street between McMeikan Street and Coote Street,Years 8 - 10
"MULTIPOLYGON (((144.984522100035 -37.830615420318, 144.984137756275 -37.832508925455, 144.983911585116 -37.832480702778, 144.984287339944 -37.830586123172, 144.984522100035 -37.830615420318)))",22281,,,,,,,,Anderson Street between Fairlie Court and Clowes Street,Years 5 - 7
"MULTIPOLYGON (((144.984932902402 -37.828543725719, 144.984803600879 -37.829218341491, 144.984564519368 -37.829188511373, 144.984691464037 -37.828548397653, 144.984712243819 -37.828443613038, 144.984932902402 -37.828543725719)))",22280,,,,,,,,Anderson Street between St Leonards Court and Alexandra Avenue,Years 5 - 7
"MULTIPOLYGON (((144.969186391573 -37.801129481297, 144.969123913979 -37.801122438047, 144.968553484938 -37.801056951495, 144.968599859776 -37.800784937744, 144.969281837915 -37.800859187627, 144.969320382356 -37.80086209078, 144.969359048564 -37.80086273189, 144.969397618254 -37.800860775206, 144.969435815028 -37.800856234748, 144.96947336516 -37.800849143056, 144.969509999559 -37.800839550948, 144.969545455694 -37.800827527165, 144.969579479481 -37.800813157871, 144.969611827098 -37.800796546039, 144.969642266735 -37.800777810713, 144.969670580257 -37.800757086154, 144.969696564762 -37.800734520878, 144.969718632487 -37.800709490387, 144.969771034557 -37.800712430477, 144.969752894618 -37.800823665624, 144.969693532226 -37.801187709605, 144.969186391573 -37.801129481297)))",20718,,,,,,,,Grattan Street between Rathdowne Street and Drummond Street,Years 5 - 7
"MULTIPOLYGON (((144.953793837652 -37.817088958899, 144.953474044856 -37.817181520821, 144.953358811651 -37.816929342949, 144.954751408548 -37.816521815307, 144.954762886396 -37.8165204196, 144.955199422227 -37.816393996801, 144.955246149308 -37.816381903451, 144.955509761449 -37.816303374711, 144.955633323552 -37.816556533277, 144.953904389642 -37.817056959865, 144.953793837652 -37.817088958899)))",20090,,,,,,,,Bourke Street between King Street and Spencer Street,Years 5 - 7
"MULTIPOLYGON (((144.958142778705 -37.804136331505, 144.958915140166 -37.804223761936, 144.959795752169 -37.806121823348, 144.958962154984 -37.805902999981, 144.958956268537 -37.805890317531, 144.958142778705 -37.804136331505)))",21113,,,,,,,,Elizabeth Street between Victoria Street and Queensberry Street,Years 8 - 10
"MULTIPOLYGON (((144.956661274757 -37.793504078038, 144.956510343171 -37.793673295778, 144.956264609298 -37.793948793199, 144.956233827922 -37.793982377603, 144.956123599401 -37.794105719304, 144.955843177086 -37.793947904383, 144.956542473419 -37.793164588763, 144.956544273597 -37.793165611294, 144.956715219113 -37.792976410155, 144.95672515659 -37.792953710676, 144.956722700192 -37.792923334414, 144.956692567003 -37.792898380677, 144.956653947783 -37.792885076114, 144.95662727477 -37.792881269955, 144.957021691596 -37.792807700553, 144.957648843701 -37.792690728105, 144.95757268487 -37.792705931182, 144.957499199029 -37.792727913842, 144.957428629764 -37.792755190969, 144.957361576617 -37.792787530822, 144.957298609257 -37.79282465865, 144.957240262644 -37.79286625902, 144.957187032478 -37.792911978505, 144.957142005462 -37.792962888705, 144.956977591547 -37.793148355757, 144.95695062335 -37.793179582342, 144.956661274757 -37.793504078038)))",22364,,,,,,,,Park Drive between Bayles Street and Gatehouse Street,Years 8 - 10
"MULTIPOLYGON (((144.945342662326 -37.804586731193, 144.945006266515 -37.804557899256, 144.945170272976 -37.803651178625, 144.945503391435 -37.803689108806, 144.94543076342 -37.804090540595, 144.945426847679 -37.804118309562, 144.945342662326 -37.804586731193)))",21009,,,,,,,,Abbotsford Street between Victoria Street and Elm Street,Complete
"MULTIPOLYGON (((144.944215018647 -37.805093471389, 144.944159803213 -37.805399961085, 144.943933532497 -37.80537889723, 144.943988152846 -37.805073830127, 144.943996203109 -37.805028875918, 144.944050942286 -37.804723189029, 144.944277167978 -37.804745396343, 144.944222803447 -37.80504784566, 144.944215018647 -37.805093471389)))",21339,,,,,,,,Lothian Street between Miller Street and Victoria Street,Complete
"MULTIPOLYGON (((144.950532942082 -37.796963581508, 144.950859096705 -37.796706771463, 144.951094434857 -37.7968948954, 144.9508533107 -37.797088346035, 144.950454212759 -37.797407482579, 144.950283587778 -37.79754304176, 144.950041093704 -37.797350853514, 144.950532942082 -37.796963581508)))",21201,,,,,,,,Harker Street between Chapman Street and Flemington Road,Years 8 - 10
"MULTIPOLYGON (((144.954052160336 -37.79953130666, 144.954225403339 -37.799393813929, 144.954298948732 -37.799452811894, 144.953729044469 -37.799905096868, 144.953654982976 -37.799847927982, 144.953643051426 -37.79983828533, 144.953667013172 -37.799838359264, 144.954028295194 -37.799551195544, 144.954052160336 -37.79953130666)))",21138,,,,,,,,High Street between Flemington Road and Vale Street,Years 5 - 7
"MULTIPOLYGON (((144.932898820868 -37.800488687436, 144.932926065232 -37.80047245791, 144.93332672831 -37.800232469475, 144.934864612244 -37.799315162953, 144.934991261876 -37.799465410694, 144.933467609207 -37.800378561834, 144.933354486246 -37.800446354497, 144.933098662817 -37.800589359692, 144.93306641161 -37.800602863302, 144.933036608368 -37.800619563762, 144.933008817647 -37.800638315642, 144.932983260013 -37.800658970113, 144.932960138308 -37.800681363249, 144.932939636041 -37.800705317323, 144.932921915931 -37.80073064222, 144.932907118618 -37.800757136945, 144.932895361541 -37.800784591218, 144.932887317678 -37.800812880895, 144.932867101672 -37.800808804185, 144.932807900204 -37.800930847218, 144.932625189543 -37.800891502678, 144.932682888815 -37.800771614207, 144.93248953928 -37.80073258735, 144.932493812534 -37.80073003996, 144.932788964988 -37.800554148785, 144.932898820868 -37.800488687436)))",22867,,,,,,,,Lloyd Street between Arden Street and South Kensington Railway,Years 8 - 10
"MULTIPOLYGON (((144.946093046638 -37.808105615757, 144.945667227069 -37.808499895049, 144.945355198469 -37.808366637423, 144.945784283666 -37.80797054179, 144.946093046638 -37.808105615757)))",22665,,,,,,,,Hawke Street between Ireland Street and Adderley Street,Complete
"MULTIPOLYGON (((144.950353552174 -37.813330253767, 144.951220056993 -37.81308475931, 144.951332582884 -37.813344011441, 144.950331122234 -37.813626205427, 144.950303405273 -37.813634013749, 144.950054263074 -37.813415043909, 144.950353552174 -37.813330253767)))",21505,,,,,,,,La Trobe Street between Adderley Street and Spencer Street,Years 5 - 7
"MULTIPOLYGON (((144.928195051903 -37.789842651401, 144.928153438927 -37.789837981218, 144.927913938999 -37.789811067097, 144.927925995686 -37.789609560406, 144.929130927618 -37.789750384674, 144.929183045499 -37.789966114005, 144.928874988009 -37.789928308717, 144.928824707129 -37.789922134576, 144.928574818747 -37.789891470449, 144.928432231329 -37.789869307854, 144.928195051903 -37.789842651401)))",22959,,,,,,,,Anthony Street between Bellair Street and McCracken Street,Not determined by precinct plan
"MULTIPOLYGON (((144.972869025205 -37.798964540472, 144.974490239808 -37.798048044953, 144.974683316189 -37.79806856914, 144.97464438867 -37.798297511209, 144.974375929707 -37.798448879035, 144.974347703912 -37.798464804011, 144.973759302061 -37.798796579997, 144.973752923111 -37.7988001831, 144.973119668238 -37.799157237153, 144.972869025205 -37.798964540472)))",20596,,,,,,,,Barkly Street between Nicholson Street and Canning Street,Years 5 - 7
"MULTIPOLYGON (((144.942550491565 -37.796309109294, 144.944233686601 -37.797860904668, 144.943994611242 -37.798075554355, 144.943980621017 -37.798055045396, 144.943964467196 -37.798035563295, 144.943946268647 -37.798017251408, 144.941681412921 -37.795929730701, 144.942198666046 -37.795984414675, 144.942210406173 -37.795985737274, 144.942205211093 -37.795990422727, 144.942533311074 -37.796291840006, 144.942550491565 -37.796309109294)))",21214,,,,,,,,Shiel Street between Dryburgh Street and Canning Street,Years 8 - 10
"MULTIPOLYGON (((144.958072511516 -37.80963995632, 144.958391649541 -37.809547910701, 144.958519605417 -37.809827114537, 144.958200799652 -37.809916543828, 144.958072511516 -37.80963995632)))",21636,,,,,,,,Queen Street between A'Beckett Street and Franklin Street,Years 5 - 7
"MULTIPOLYGON (((144.924688175803 -37.795966344, 144.925868277384 -37.797241116517, 144.925727139162 -37.797323385915, 144.925125189575 -37.796671732475, 144.925085659495 -37.796694772884, 144.924508213157 -37.796069619004, 144.924547952432 -37.796046807766, 144.924688175803 -37.795966344)), ((144.926942852833 -37.79863947209, 144.925849902322 -37.797456290336, 144.925991213713 -37.797373924714, 144.927085867809 -37.798556333125, 144.926942852833 -37.79863947209)))",21739,,,,,,,,Altona Street between Ormond Street and Kensington Road,Complete
"MULTIPOLYGON (((144.95279186568 -37.798251551163, 144.953033839901 -37.798059769513, 144.952790732048 -37.797866044179, 144.952973135836 -37.797627852804, 144.954093538286 -37.798521518192, 144.953613013322 -37.798902468332, 144.95279186568 -37.798251551163)))",21182,,,,,,,,Flemington Road between Villiers Street and Harcourt Street,Not determined by precinct plan
"MULTIPOLYGON (((144.911492388417 -37.826211802838, 144.911511711122 -37.826095038009, 144.911516604658 -37.825977183371, 144.911510656981 -37.825859229936, 144.911379317674 -37.825417770358, 144.911602558027 -37.825376446835, 144.911823182126 -37.826126346187, 144.911825656637 -37.826134815575, 144.911828098966 -37.826143290838, 144.91183050909 -37.826151771899, 144.911492388417 -37.826211802838)), ((144.911392420649 -37.825883834039, 144.911261604374 -37.825439562965, 144.911304306604 -37.82543165132, 144.911375145447 -37.825670906241, 144.911397821286 -37.825772855319, 144.911413908269 -37.825875407705, 144.911420322283 -37.825978573054, 144.911392420649 -37.825883834039)))",22791,,,,,,,,Todd Road between Wirraway Drive and Wharf Road,Years 8 - 10
"MULTIPOLYGON (((144.966087013194 -37.811023817684, 144.966154188114 -37.811004025616, 144.966980715407 -37.810760445081, 144.967095475765 -37.811013854734, 144.966907258116 -37.811069316791, 144.966855462926 -37.811084571572, 144.966497933142 -37.811189927398, 144.966440446101 -37.811206868028, 144.965412467126 -37.81150974898, 144.965376909578 -37.811520228068, 144.964949474574 -37.81164617067, 144.964836642284 -37.811392278674, 144.964924694363 -37.811366332642, 144.964933832729 -37.811363642861, 144.965661368181 -37.811149253142, 144.965721890005 -37.811131419087, 144.966087013194 -37.811023817684)))",20005,,,,,,,,Lonsdale Street between Russell Street and Swanston Street,Years 8 - 10
"MULTIPOLYGON (((144.903039373556 -37.789821666496, 144.903030010401 -37.789562818773, 144.903035202544 -37.789500469113, 144.903277636906 -37.789412109737, 144.903504344123 -37.789300352996, 144.903717906129 -37.789173411417, 144.90391673196 -37.789032230672, 144.904099340432 -37.788877862509, 144.904254555383 -37.788705821373, 144.904481206888 -37.788349818616, 144.904658554509 -37.788008065808, 144.904809329699 -37.787658371318, 144.904932972392 -37.787302034984, 144.905032730322 -37.787321256211, 144.904855579558 -37.787810761256, 144.904627949346 -37.788286940075, 144.904351403019 -37.788746520378, 144.904173151847 -37.788998354802, 144.903980181829 -37.789243261957, 144.903772919388 -37.789480700475, 144.90340402011 -37.789576795133, 144.903104404802 -37.789788814216, 144.903039373556 -37.789821666496)))",22529,,,,,,,,Fisher Parade between Leonard Crescent and Maribyrnong River,Years 8 - 10
"MULTIPOLYGON (((144.946408235166 -37.796691647947, 144.946735853717 -37.796794218886, 144.946621027263 -37.797440090107, 144.946281103993 -37.797401990635, 144.946408235166 -37.796691647947)))",22516,,,,,,,,Abbotsford Street between Wood Street and Canning Street,Complete
"MULTIPOLYGON (((144.952539802496 -37.80112168708, 144.952574110474 -37.801068735689, 144.953034630168 -37.801035467641, 144.953278420186 -37.801231610505, 144.953105804526 -37.801485202147, 144.953089224647 -37.801492943437, 144.952754032827 -37.801415545264, 144.952539802496 -37.80112168708)))",20914,,,,,,,,Intersection of Arden Street and Courtney Street,Years 1 - 4
"MULTIPOLYGON (((144.934671319841 -37.79178734613, 144.934107368025 -37.791727106128, 144.934142098871 -37.791549607185, 144.934703504753 -37.791607432269, 144.934671319841 -37.79178734613)))",23091,,,,,,,,Smith Street between Lambeth Street and Thompson Street,Years 5 - 7
"MULTIPOLYGON (((144.960061900339 -37.826175499389, 144.959267803547 -37.826852190018, 144.959133737348 -37.826563599324, 144.959361295255 -37.826370132588, 144.959436093982 -37.826300174976, 144.959508106024 -37.826228401307, 144.959577261351 -37.826154881389, 144.959617933249 -37.826100920834, 144.959656929206 -37.826046187434, 144.959694225896 -37.825990713931, 144.959730081517 -37.825933810627, 144.959762318471 -37.825875561043, 144.959790856699 -37.825816109856, 144.959806272893 -37.825781396384, 144.959820420968 -37.825746344805, 144.959833289165 -37.82571098426, 144.960061900339 -37.826175499389)))",22040,,,,,,,,City Road between Kings Way and Clarke Street,Years 5 - 7
"MULTIPOLYGON (((144.933099706075 -37.796403182885, 144.933066741191 -37.796584362087, 144.932663639164 -37.796538175455, 144.932594021078 -37.796346373048, 144.932756884584 -37.796364795336, 144.932768576591 -37.796365802621, 144.933099706075 -37.796403182885)))",21280,,,,,,,,Chelmsford Street between Albermarle Street and Elizabeth Street,Years 5 - 7
"MULTIPOLYGON (((144.928983339799 -37.790600705769, 144.928690190506 -37.790644204721, 144.928679393755 -37.790557907644, 144.928968798594 -37.790516730979, 144.929015976226 -37.790510017773, 144.929306566178 -37.790468680877, 144.929328612237 -37.790549462249, 144.929035976334 -37.790592889989, 144.928983339799 -37.790600705769)))",22987,,,,,,,,Coote Street between Bellair Street and McConnell Street,Years 5 - 7
"MULTIPOLYGON (((144.950212290964 -37.822317928938, 144.952467968858 -37.821663878157, 144.952437574861 -37.821695278162, 144.952345095958 -37.821800224594, 144.95228040748 -37.821907132206, 144.952171161363 -37.822048599802, 144.952094624987 -37.822046944164, 144.952070892507 -37.822048718936, 144.952047500129 -37.82205231582, 144.952024620428 -37.822057551876, 144.952002434708 -37.822064385615, 144.951981118772 -37.822072762884, 144.95196084153 -37.8220826173, 144.951942451216 -37.822094537626, 144.951863947822 -37.822141429867, 144.951811502802 -37.822172401053, 144.951792981905 -37.822179495517, 144.95177192575 -37.822189943297, 144.951563174084 -37.822285242384, 144.95133761021 -37.822353348544, 144.951051599987 -37.822435262707, 144.950714766206 -37.82253096267, 144.950585310685 -37.822554374783, 144.950487924747 -37.822614806458, 144.950212290964 -37.822317928938)))",22803,,,,,,,,Wurundjeri Way between Batmans Hill Drive and Flinders Street,Complete
"MULTIPOLYGON (((144.973144274727 -37.81118160698, 144.972821276563 -37.811276041438, 144.972728407523 -37.811068316244, 144.972715758253 -37.811041153257, 144.972453719805 -37.810460176267, 144.972767585714 -37.810368937932, 144.972904979708 -37.810666420905, 144.973102577308 -37.811091834862, 144.973144274727 -37.81118160698)))",20204,,,,,,,,Spring Street between Bourke Street and Little Bourke Street,Years 5 - 7
"MULTIPOLYGON (((144.964163208656 -37.816046296083, 144.964495616041 -37.815948344663, 144.964557298777 -37.815930170867, 144.964664676941 -37.815898521315, 144.964740801112 -37.815876091173, 144.96631450321 -37.815412312559, 144.966428790643 -37.815664894505, 144.96582898565 -37.815839590385, 144.965827061802 -37.815840151925, 144.965794675748 -37.815850478629, 144.965789522282 -37.815851993689, 144.965286486967 -37.815999836323, 144.965207844822 -37.816022953257, 144.964283708843 -37.81629454464, 144.964163208656 -37.816046296083)))",20112,,,,,,,,Collins Street between Swanston Street and Elizabeth Street,Years 5 - 7
"MULTIPOLYGON (((144.97008748322 -37.798842433564, 144.970089745659 -37.798829486574, 144.970125010827 -37.798613297833, 144.970131548585 -37.798585230658, 144.970179566232 -37.798317642169, 144.970181000564 -37.798309637387, 144.970241395342 -37.797979459027, 144.970246335891 -37.797952481775, 144.970310643821 -37.797600886691, 144.970652374101 -37.797629927209, 144.970590846414 -37.79798083144, 144.970562374857 -37.798165055462, 144.970529845914 -37.798340666371, 144.970496585488 -37.798521419403, 144.970495175624 -37.79852977607, 144.970469107877 -37.798683833958, 144.970464685563 -37.798710135252, 144.970438638424 -37.798865094661, 144.970436888784 -37.798875491147, 144.97008748322 -37.798842433564)))",20563,,,,,,,,Rathdowne Street between Faraday Street and Elgin Street,Years 5 - 7
"MULTIPOLYGON (((144.984522100035 -37.830615420318, 144.98455991313 -37.830434201189, 144.985698074507 -37.830578889221, 144.985731363601 -37.830583126556, 144.986199881999 -37.830642679776, 144.986180361955 -37.830822364966, 144.984522100035 -37.830615420318)))",22268,,,,,,,,Clowes Street between Anderson Street and Walsh Street,Complete
"MULTIPOLYGON (((144.930478217754 -37.797832391841, 144.930429166874 -37.797689586008, 144.930579691308 -37.797601266775, 144.930628365787 -37.797743732501, 144.930478217754 -37.797832391841)))",21713,,,,,,,,Intersection of Tennyson Street and Southey Street,Not determined by precinct plan
"MULTIPOLYGON (((144.972473030884 -37.83259788293, 144.97247938897 -37.832604540817, 144.972485875247 -37.832611120461, 144.972492488183 -37.832617620311, 144.972535840597 -37.832652656569, 144.972581013836 -37.832686000918, 144.972629737089 -37.832716025107, 144.972681618737 -37.832742487813, 144.972736241772 -37.832765176336, 144.972793167153 -37.832783908315, 144.972851937332 -37.832798533188, 144.972911958617 -37.832809521327, 144.976112590094 -37.833225012047, 144.976077038515 -37.833397498579, 144.973010338915 -37.832999876145, 144.973006643443 -37.832999567715, 144.973002933487 -37.832999484106, 144.972999231269 -37.832999659718, 144.972995565497 -37.83300009319, 144.972991964594 -37.833000781161, 144.972988456483 -37.833001718296, 144.972985068367 -37.833002897329, 144.972981826516 -37.833004309117, 144.972978756068 -37.833005942713, 144.972975880832 -37.83300778545, 144.972973223104 -37.833009823039, 144.97297080349 -37.833012039681, 144.972968640754 -37.833014418187, 144.972966751665 -37.833016940114, 144.972965150871 -37.833019585908, 144.972963850785 -37.833022335051, 144.972962861489 -37.833025166228, 144.972962190653 -37.833028057484, 144.972961843478 -37.833030986401, 144.972961822658 -37.833033930268, 144.972962128353 -37.833036866258, 144.972962758193 -37.833039771604, 144.972963707294 -37.833042623778, 144.972964968297 -37.833045400665, 144.972966531424 -37.833048080731, 144.972968384554 -37.833050643196, 144.972970513318 -37.833053068189, 144.972972776987 -37.833055426672, 144.972936103795 -37.833030706049, 144.972899595249 -37.83300583261, 144.972863252361 -37.832980807044, 144.972638586792 -37.832774020887, 144.972473030884 -37.83259788293)))",22708,,,,,,,,Domain Road between St Kilda Road and Dallas Brooks Drive,Years 8 - 10
"MULTIPOLYGON (((144.96418891276 -37.80480978167, 144.963404990228 -37.804723483485, 144.963451749677 -37.804460175167, 144.96413904596 -37.804531212775, 144.96418983896 -37.804535758691, 144.96458561455 -37.804578539178, 144.96454139989 -37.804848587722, 144.964258520061 -37.804817446471, 144.96418891276 -37.80480978167)))",22500,,,,,,,,Queensberry Street between Cardigan Street and Swanston Street,Years 8 - 10
"MULTIPOLYGON (((144.972199624865 -37.832759530863, 144.972087595101 -37.832640340337, 144.972016434226 -37.832560805842, 144.971950045433 -37.832478716643, 144.971888574254 -37.832394252705, 144.971790408559 -37.832251789089, 144.971673988492 -37.832045847402, 144.971568479729 -37.831836925391, 144.971484988091 -37.831621946504, 144.971424082979 -37.83140237687, 144.971383276973 -37.831179910451, 144.971348188776 -37.830810288026, 144.971322406299 -37.830440183873, 144.971305939667 -37.830069745356, 144.971646847923 -37.830062912651, 144.97166307665 -37.830427959114, 144.971688485646 -37.830792676051, 144.971723064929 -37.831156918241, 144.971759810801 -37.831357238455, 144.971814654259 -37.83155495024, 144.971889835583 -37.831748528248, 144.971984842056 -37.831936652327, 144.972089673941 -37.832122092585, 144.972187828459 -37.832264564777, 144.972241319702 -37.832338059436, 144.972299089846 -37.832409487657, 144.972361012258 -37.832478692851, 144.972473030884 -37.83259788293, 144.972199624865 -37.832759530863)))",22467,,,,,,,,St Kilda Road between Dorcas Street and Domain Road,Not determined by precinct plan
"MULTIPOLYGON (((144.959686410395 -37.807067912346, 144.959204457456 -37.806375036189, 144.960085605985 -37.806475419959, 144.960008060048 -37.806983178166, 144.959686410395 -37.807067912346)))",21628,,,,,,,,Elizabeth Street between Therry Street and Victoria Street,Years 5 - 7
"MULTIPOLYGON (((144.987144386685 -37.812145540347, 144.987116712854 -37.812141462566, 144.986666947099 -37.812093742854, 144.986618036176 -37.812088662, 144.986103142527 -37.812030310072, 144.986152537362 -37.811760485644, 144.988423195722 -37.812008596676, 144.988376607071 -37.81228288586, 144.987144386685 -37.812145540347)))",21866,,,,,,,,Grey Street between Simpson Street and Powlett Street,Complete
"MULTIPOLYGON (((144.986440101915 -37.829425116968, 144.986647516282 -37.829617658987, 144.986644343289 -37.829616064747, 144.986641095325 -37.82961458634, 144.986637699719 -37.829613336904, 144.986634182262 -37.829612325929, 144.986630569668 -37.829611561093, 144.986626889376 -37.829611048206, 144.986623169336 -37.829610791162, 144.986619437804 -37.829610791914, 144.986615723119 -37.829611050457, 144.986612053496 -37.829611564826, 144.986608456804 -37.829612331115, 144.986604960361 -37.829613343504, 144.986601590722 -37.829614594304, 144.986598373479 -37.829616074015, 144.986595333068 -37.829617771398, 144.986592492581 -37.829619673563, 144.986589873591 -37.829621766061, 144.986587495989 -37.829624033001, 144.986585377833 -37.829626457165, 144.986583535211 -37.829629020142, 144.986581982118 -37.829631702465, 144.986580818595 -37.829634505865, 144.986373590215 -37.830665044245, 144.986199881999 -37.830642679776, 144.986395981351 -37.829668022616, 144.986400789353 -37.829641204715, 144.986440101915 -37.829425116968)))",22273,,,,,,,,Walsh Street between Clowes Street and Alexandra Avenue,Complete
"MULTIPOLYGON (((144.929113374775 -37.788256388487, 144.929105288331 -37.788257521188, 144.929097390756 -37.788259302074, 144.929089715964 -37.788261606656, 144.929082318643 -37.788264418512, 144.929075251501 -37.788267717607, 144.929068564895 -37.788271480432, 144.929062306472 -37.788275680177, 144.929056520825 -37.788280286916, 144.929051249179 -37.788285267823, 144.929046529099 -37.788290587407, 144.929042394217 -37.788296207764, 144.929038873996 -37.788302088845, 144.92903620894 -37.788308245956, 144.929032148327 -37.788323133083, 144.929029960534 -37.788338286938, 144.929029240373 -37.788353538745, 144.929029805496 -37.788368809432, 144.929378649315 -37.78977933334, 144.929130927618 -37.789750384674, 144.928912157657 -37.7888590612, 144.928756341793 -37.788218415688, 144.929113374775 -37.788256388487)))",22973,,,,,,,,Bellair Street between Anthony Street and Racecourse Road,Years 8 - 10
"MULTIPOLYGON (((144.970101519152 -37.800860279502, 144.970367295287 -37.800708397823, 144.971155469006 -37.800788369194, 144.971190335022 -37.800792151032, 144.972165040025 -37.800898885892, 144.972135858013 -37.801073878953, 144.970101519152 -37.800860279502)))",20682,,,,,,,,Carlton Street between Canning Street and Rathdowne Street,Complete
"MULTIPOLYGON (((144.953904389642 -37.817056959865, 144.954225194028 -37.817748985568, 144.954260279862 -37.817822824581, 144.954151975655 -37.81785196121, 144.95409920912 -37.817747021832, 144.953793837652 -37.817088958899, 144.953904389642 -37.817056959865)))",20434,,,,,,,,Godfrey Street between Bourke Street and Little Collins Street,Years 8 - 10
"MULTIPOLYGON (((144.965317190504 -37.823372504356, 144.964886790746 -37.82328126542, 144.965207814988 -37.822913952766, 144.96522503321 -37.822919089643, 144.965520009697 -37.822976842739, 144.965640451883 -37.822995235136, 144.965317190504 -37.823372504356)))",22074,,,,,,,,Intersection of Southbank Boulevard and Kavanagh Street,Years 8 - 10
"MULTIPOLYGON (((144.962588877293 -37.818722897648, 144.962258573257 -37.818809912568, 144.961896186616 -37.818004054674, 144.962217039212 -37.817908243892, 144.962588877293 -37.818722897648)))",20170,,,,,,,,Queen Street between Flinders Street and Flinders Lane,Years 5 - 7
"MULTIPOLYGON (((144.951605833919 -37.81201030505, 144.951546842338 -37.812026878744, 144.951142820023 -37.812140336421, 144.951061436944 -37.811972518458, 144.951057409528 -37.811963706986, 144.951071799146 -37.811969544658, 144.951328543812 -37.81189576294, 144.951358720867 -37.811887690768, 144.951493655258 -37.811849890991, 144.951529063057 -37.811839972249, 144.951928599615 -37.811728039283, 144.951964519268 -37.811718913333, 144.952868152992 -37.811461985444, 144.952898927908 -37.811453229361, 144.953226813523 -37.811360007273, 144.95330299587 -37.81152874272, 144.953102245225 -37.811584352205, 144.953069693302 -37.81159369926, 144.951605833919 -37.81201030505)))",21514,,,,,,,,Jeffcott Street between Spencer Street and King Street,Complete
"MULTIPOLYGON (((144.908049856474 -37.782754956927, 144.90828353305 -37.782618028701, 144.908117575889 -37.782821368548, 144.907710280077 -37.783353750438, 144.907363452263 -37.783912458877, 144.907079772713 -37.78449317839, 144.90684655883 -37.785087695972, 144.906700969509 -37.785700608222, 144.906627013574 -37.786321908887, 144.906606586354 -37.786532736391, 144.906578420339 -37.786743001416, 144.906542539426 -37.786952525085, 144.906440555996 -37.786941349085, 144.906476120499 -37.78673385555, 144.906504032493 -37.786525626076, 144.906524268221 -37.78631683838, 144.906599843746 -37.785684188513, 144.906748807707 -37.785060169776, 144.906987398171 -37.784455057392, 144.907277811235 -37.783864189277, 144.907632890972 -37.783296006581, 144.908049856474 -37.782754956927)))",22528,,,,,,,,Leonard Crescent between Langs Road and Fisher Parade,Years 8 - 10
"MULTIPOLYGON (((144.935301044572 -37.79215889392, 144.935306194304 -37.792130552137, 144.935355696825 -37.791858409057, 144.935581039274 -37.791883095397, 144.935334823213 -37.793195197283, 144.93511764251 -37.79316722907, 144.935167294769 -37.792894250661, 144.935172389934 -37.792866241366, 144.935301044572 -37.79215889392)))",23101,,,,,,,,Stubbs Street between Smith Street and Robertson Street,Not determined by precinct plan
"MULTIPOLYGON (((144.927911037001 -37.809115994342, 144.925184504732 -37.808838374178, 144.920640759526 -37.808374343782, 144.917368503421 -37.808040819108, 144.916832562181 -37.807987235651, 144.916956032104 -37.807307279152, 144.928828533456 -37.808513860198, 144.928823112276 -37.808524948385, 144.928762707518 -37.80859770988, 144.928640305729 -37.808703868618, 144.928484821889 -37.808845176696, 144.928431893711 -37.808886123006, 144.928297372474 -37.808974360134, 144.928138547309 -37.809047831834, 144.927911037001 -37.809115994342)))",22440,,,,,,,,Footscray Road between Appleton Dock Road and Dock Link Road,Years 8 - 10
"MULTIPOLYGON (((144.951750709554 -37.797418287975, 144.951094434857 -37.7968948954, 144.951503062548 -37.796458751386, 144.951795830401 -37.796691363677, 144.951829310075 -37.79671726902, 144.95223188509 -37.797038023541, 144.951750709554 -37.797418287975)))",22312,,,,,,,,Flemington Road between Murphy Street and Harker Street,Not determined by precinct plan
"MULTIPOLYGON (((144.990273956947 -37.81008123202, 144.990246704241 -37.810077982242, 144.989119434503 -37.809960454521, 144.98914712791 -37.809795894339, 144.990302303039 -37.809920575779, 144.990488798805 -37.809940880971, 144.990627497822 -37.809951078415, 144.990766618788 -37.809952801083, 144.990905303818 -37.809944902141, 144.991041900191 -37.809925211675, 144.991056250291 -37.809921636207, 144.991069992966 -37.809916781263, 144.991083145999 -37.809910998367, 144.991095610938 -37.809904330804, 144.991107294483 -37.809896828481, 144.99111810918 -37.809888547554, 144.99112797408 -37.809879550006, 144.991136288177 -37.809869624047, 144.991069569913 -37.810167875935, 144.990273956947 -37.81008123202)))",22000,,,,,,,,Victoria Parade between Hoddle Street and Simpson Street,Complete
